JOINT,MEMBER,GRUP,TOP,TOP-LEFT,LEFT,BOT-LEFT,BOT,BOT-RIGHT,RIGHT,TOP-RIGHT,MAX_DAMAGE,CRITICAL_LOCATION,UNIQUE_KEY
006P,006P-106P,PI1,1.08018e-06,1.05643e-05,1.30497e-05,3.9217e-06,4.00631e-06,2.58323e-05,2.01678e-05,9.42655e-07,2.58323e-05,BOT-RIGHT,006P_006P-106P_PI1
0010,905L 93AD,24B,7.13921e-06,2.54576e-05,2.49986e-05,1.53102e-06,3.90353e-08,1.58272e-06,1.82241e-05,1.90722e-05,2.54576e-05,TOP-LEFT,0010_905L 93AD_24B
0103,0103 102L,20B,5.98918e-06,1.85623e-05,2.09489e-05,4.28816e-06,2.93591e-07,2.51777e-07,1.0683e-06,2.62243e-06,2.09489e-05,LEFT,0103_0103 102L_20B
0025,102L J107,6A,8.61029e-07,6.67655e-07,1.21194e-06,1.0449e-06,1.3947e-06,6.62917e-06,1.31231e-05,5.43585e-06,1.31231e-05,RIGHT,0025_102L J107_6A
0592,J369 303L,24B,1.24613e-05,4.04521e-06,5.33476e-07,4.38737e-08,9.00723e-09,1.87688e-07,3.36351e-06,1.25927e-05,1.25927e-05,TOP-RIGHT,0592_J369 303L_24B
0053,106L J127,6A,6.5052e-07,4.80808e-06,1.21972e-05,5.56765e-06,9.66127e-07,6.30952e-07,7.15814e-07,4.5385e-07,1.21972e-05,LEFT,0053_106L J127_6A
0584,J235 202L,24B,1.09022e-05,8.01591e-06,1.93043e-06,1.35391e-07,3.94775e-09,3.47138e-08,6.79758e-07,4.67711e-06,1.09022e-05,TOP,0584_J235 202L_24B
0189,0189-0188,D8A,6.11483e-07,3.65767e-08,2.22829e-06,1.07527e-05,5.12857e-06,3.0172e-07,2.62414e-07,1.47593e-06,1.07527e-05,BOT-LEFT,0189_0189-0188_D8A
0106,208L 207L,24B,3.37789e-06,1.05212e-05,3.30996e-06,2.00101e-07,5.45556e-07,3.14911e-06,1.4279e-06,2.64724e-07,1.05212e-05,TOP-LEFT,0106_208L 207L_24B
106L,0053 J127,14A,1.04699e-07,3.14327e-06,1.03552e-05,1.81455e-06,2.02461e-08,1.9471e-06,1.0013e-05,2.84294e-06,1.03552e-05,LEFT,106L_0053 J127_14A
102L,0025 J107,14A,9.46784e-08,1.46183e-06,5.0843e-06,9.08477e-07,4.87976e-09,1.44221e-06,1.01051e-05,3.46489e-06,1.01051e-05,RIGHT,102L_0025 J107_14A
0137,0137 807L,DL8,7.99521e-10,8.3523e-07,9.5874e-06,8.04963e-06,2.20366e-06,8.44383e-06,9.27079e-06,5.99227e-07,9.5874e-06,LEFT,0137_0137 807L_DL8
0135,0135 J301,12A,2.09146e-09,1.08832e-06,9.35442e-06,4.77249e-06,2.45912e-07,1.29654e-06,5.6615e-06,1.08788e-06,9.35442e-06,LEFT,0135_0135 J301_12A
0593,J203 203L,24B,8.42192e-06,4.98708e-06,7.68686e-07,1.94358e-08,3.48002e-10,1.73276e-08,5.28982e-07,4.09727e-06,8.42192e-06,TOP,0593_J203 203L_24B
0594,0594,J118,5.42598e-06,2.6627e-06,1.8473e-06,2.27701e-07,1.18877e-08,7.77645e-07,4.67335e-06,7.87941e-06,7.87941e-06,TOP-RIGHT,0594_0594_J118
0107,204L 203L,24B,1.88606e-06,4.65371e-07,3.18479e-06,4.92227e-06,6.48746e-07,1.18723e-07,3.34341e-06,7.78359e-06,7.78359e-06,TOP-RIGHT,0107_204L 203L_24B
0135,J356 J359,12A,3.41575e-08,1.56624e-06,7.45704e-06,1.69366e-06,5.66698e-09,5.96379e-07,3.77727e-06,1.10591e-06,7.45704e-06,LEFT,0135_J356 J359_12A
104P,104P-204P,PE2,4.77838e-08,1.49401e-06,5.88188e-06,1.2312e-06,1.25875e-08,1.06141e-06,6.39979e-06,1.9933e-06,6.39979e-06,RIGHT,104P_104P-204P_PE2
0097,0097 105L,18A,5.46581e-07,2.4265e-06,3.7029e-06,9.34025e-07,5.60486e-08,2.84498e-08,9.68181e-08,1.9949e-07,3.7029e-06,LEFT,0097_0097 105L_18A
0102,0102 101L,18A,6.66268e-07,2.66789e-07,1.12516e-07,2.54345e-08,3.77665e-08,6.81834e-07,2.96941e-06,2.36334e-06,2.96941e-06,RIGHT,0102_0102 101L_18A
0585,J117 102L,30B,1.49462e-06,2.29525e-07,4.62991e-08,4.86493e-09,9.45008e-13,6.69101e-08,1.17467e-06,2.83163e-06,2.83163e-06,TOP-RIGHT,0585_J117 102L_30B
001P,001P-101P,PE1,1.0123e-07,1.46321e-07,3.57224e-07,2.91699e-07,2.86817e-07,1.3973e-06,2.68503e-06,8.55316e-07,2.68503e-06,RIGHT,001P_001P-101P_PE1
0122,0122 806L,DL8,1.95912e-08,2.43618e-07,2.36771e-06,1.7751e-06,2.32909e-07,4.53696e-07,9.1238e-07,2.9058e-07,2.36771e-06,LEFT,0122_0122 806L_DL8
0129,J206 J204,12A,2.97436e-10,1.99629e-07,1.51525e-06,4.59608e-07,1.61713e-09,7.14686e-08,5.41643e-07,1.60949e-07,1.51525e-06,LEFT,0129_J206 J204_12A
108L,0039 J130,14A,5.62936e-09,2.40538e-07,9.92497e-07,2.31346e-07,5.46291e-09,2.58279e-07,1.09502e-06,2.58498e-07,1.09502e-06,RIGHT,108L_0039 J130_14A
104L,0036 J110,14A,3.13105e-09,1.21833e-07,5.35967e-07,1.30858e-07,3.34666e-09,1.66485e-07,7.18685e-07,1.70639e-07,7.18685e-07,RIGHT,104L_0036 J110_14A
0594,J118 103L,30B,4.81114e-07,2.42491e-07,1.21498e-07,9.73742e-09,2.11029e-12,2.77783e-08,3.28328e-07,6.56979e-07,6.56979e-07,TOP-RIGHT,0594_J118 103L_30B
0138,0138 808L,DL8,2.27309e-07,6.16266e-07,5.20084e-07,2.64252e-08,1.94047e-11,5.07407e-08,5.29473e-07,5.0675e-07,6.16266e-07,TOP-LEFT,0138_0138 808L_DL8
0135,J301 J302,12A,3.79371e-10,4.23236e-08,4.66805e-07,3.16138e-07,3.8831e-08,9.05362e-08,2.7331e-07,6.04101e-08,4.66805e-07,LEFT,0135_J301 J302_12A
0129,J208 J262,12A,6.13299e-09,4.57861e-08,2.18416e-07,7.64687e-08,6.36981e-10,4.38262e-09,6.7683e-08,4.85708e-08,2.18416e-07,LEFT,0129_J208 J262_12A
0005,0005 91CD,16A,7.35597e-08,4.91026e-09,7.53342e-10,4.49093e-08,7.22072e-08,5.58261e-09,9.01174e-10,4.7691e-08,7.35597e-08,TOP,0005_0005 91CD_16A
0036,104L J110,6A,2.62303e-09,1.90127e-08,3.91143e-08,1.01052e-08,7.4932e-10,1.77239e-09,5.00837e-09,3.11269e-09,3.91143e-08,LEFT,0036_104L J110_6A
0039,108L J130,6A,1.90843e-09,2.93618e-09,5.39298e-09,1.84337e-09,5.12889e-10,6.10478e-09,2.49465e-08,1.2857e-08,2.49465e-08,RIGHT,0039_108L J130_6A
