JOINT,MEMBER,GRUP,TOP,TOP-LEFT,LEFT,BOT-LEFT,BOT,BOT-RIGHT,RIGHT,TOP-RIGHT,MAX_DAMAGE,CRITICAL_LOCATION,UNIQUE_KEY
103L,0026 204L,30C,0.000302081,0.000785643,0.0011368,0.000216332,2.10695e-05,0.000350985,0.0019657,0.00125707,0.0019657,RIGHT,103L_0026 204L_30C
302L,0579 J308,12A,0.000318338,0.000783619,0.00122647,0.000431811,0.000107704,0.000609548,0.00191593,0.00114761,0.00191593,RIGHT,302L_0579 J308_12A
303L,0586 302L,24B,1.56827e-05,0.00018807,0.000353608,7.21254e-05,1.59242e-05,0.00063538,0.00190386,0.000327772,0.00190386,RIGHT,303L_0586 302L_24B
102L,0025 203L,30C,0.000512384,0.00120039,0.00178567,0.000647721,0.000165964,0.000454889,0.00129174,0.000908762,0.00178567,LEFT,102L_0025 203L_30C
108L,0039 J124,30B,1.08581e-06,0.000357223,0.00178206,0.00038695,1.73765e-06,0.000221927,0.000971893,0.000185986,0.00178206,LEFT,108L_0039 J124_30B
203L,0588 102L,30C,0.00158046,0.00171602,0.00125046,0.000547725,0.000292028,0.000409953,0.000823934,0.00128643,0.00171602,TOP-LEFT,203L_0588 102L_30C
0575,0575 402L,51I,5.91635e-06,5.03247e-05,0.000524441,0.000717303,0.000392249,0.00164614,0.00100385,1.45541e-05,0.00164614,BOT-RIGHT,0575_0575 402L_51I
302L,0579 403L,24A,0.000486882,0.000408219,0.00036574,0.000303778,0.000440419,0.00109113,0.00160881,0.000955241,0.00160881,RIGHT,302L_0579 403L_24A
104L,0036 J115,30B,1.08723e-06,0.000168057,0.000811836,0.000169435,1.06177e-06,0.000328037,0.00160582,0.000331716,0.00160582,RIGHT,104L_0036 J115_30B
705L,0178 605L,PE7,0.00109002,0.00026937,8.4962e-06,0.000358117,0.00159204,0.000408137,9.03653e-06,0.000238587,0.00159204,BOT,705L_0178 605L_PE7
704L,704L 804L,D8B,2.93901e-05,0.000313829,0.00045986,0.0002094,0.00108366,0.00155944,0.000556911,7.34974e-05,0.00155944,BOT-RIGHT,704L_704L 804L_D8B
0112,503L J502,12A,8.34632e-05,0.000558928,0.000916333,8.32173e-05,2.16659e-07,0.000139639,0.00154476,0.000897175,0.00154476,RIGHT,0112_503L J502_12A
208L,0039,J119,0.000251536,0.000829738,0.00154421,0.000918847,0.000333315,0.000267676,0.000279361,0.000206058,0.00154421,LEFT,208L_0039_J119
204L,0036,J119,0.000295252,0.000272678,0.000359739,0.000281495,0.000293153,0.000849139,0.00153478,0.00087979,0.00153478,RIGHT,204L_0036_J119
0097,0075 J131,14A,1.52051e-05,4.72757e-06,2.94486e-06,1.58262e-07,2.63448e-07,0.000187766,0.00148536,0.000629669,0.00148536,RIGHT,0097_0075 J131_14A
102L,0025 J102,24B,8.76131e-07,2.7357e-08,1.31463e-05,0.000408653,0.00146364,0.00112143,0.000233261,1.36263e-05,0.00146364,BOT,102L_0025 J102_24B
202L,0579 301L,24A,0.000584149,0.00122335,0.00143586,0.000666776,0.000312521,0.00047995,0.000733092,0.000575637,0.00143586,LEFT,202L_0579 301L_24A
0123,206L J208,14A,7.08987e-08,0.000191132,0.00142812,0.000921767,4.67786e-05,3.53058e-06,4.01243e-05,1.10466e-05,0.00142812,LEFT,0123_206L J208_14A
302L,0579 J310,24B,0.000908312,0.000851662,0.000840928,0.000857328,0.000982322,0.00122578,0.0013782,0.00117068,0.0013782,RIGHT,302L_0579 J310_24B
207L,0325 306L,24A,0.00062889,0.000773202,0.0011035,0.00121703,0.00123562,0.00135171,0.00120699,0.000843176,0.00135171,BOT-RIGHT,207L_0325 306L_24A
701L,0170 601L,PE7,0.000864033,0.000180696,8.04064e-06,0.000349666,0.00127596,0.000272713,7.19826e-06,0.00022895,0.00127596,BOT,701L_0170 601L_PE7
506L,A047,407L,0.000617268,0.000959652,0.00124697,0.000694956,0.000328902,0.000480243,0.00112142,0.00105557,0.00124697,LEFT,506L_A047_407L
207L,0325 J234,18A,3.4091e-06,6.97717e-05,0.000352491,0.000107912,5.90123e-06,0.000322748,0.00122092,0.000259295,0.00122092,RIGHT,207L_0325 J234_18A
0562,0562 J546,24H,0.00119207,0.000555122,0.00014438,7.28364e-05,8.12377e-05,0.000139284,0.000455382,0.00110115,0.00119207,TOP,0562_0562 J546_24H
107L,0052 J133,24B,0.000319848,0.00117525,0.000494426,1.47684e-06,7.24492e-06,1.04985e-06,0.000379887,0.00103356,0.00117525,TOP-LEFT,107L_0052 J133_24B
504L,A040,J483,0.000171559,0.000626848,0.00103986,0.000259888,4.33888e-05,0.000398906,0.0010566,0.000499176,0.0010566,RIGHT,504L_A040_J483
503L,A001,J493,0.000266912,0.000687897,0.00103562,0.000297201,4.45424e-05,0.00029282,0.000875208,0.000572693,0.00103562,LEFT,503L_A001_J493
502L,0077 J502,18A,5.52431e-06,7.79163e-05,0.00033641,0.000127145,6.64225e-05,0.000543365,0.0010152,0.000182367,0.0010152,RIGHT,502L_0077 J502_18A
406L,0139,J535,0.000207707,0.000191452,0.000259322,0.000704793,0.00101509,0.000630974,0.000235445,0.000178342,0.00101509,BOT,406L_0139_J535
503L,503L 603L,52A,0.000143016,0.000434749,0.000953502,0.000553604,0.000115654,9.05547e-05,0.000125049,0.000121607,0.000953502,LEFT,503L_503L 603L_52A
104L,0036 J104,24A,9.61686e-06,0.00041026,0.000944062,7.80704e-05,2.05184e-09,4.91928e-05,0.000633494,0.000293306,0.000944062,LEFT,104L_0036 J104_24A
0123,206L J212,12A,0.00014564,1.20042e-05,3.78037e-06,8.06716e-07,5.22633e-07,0.000115105,0.000940365,0.000883529,0.000940365,RIGHT,0123_206L J212_12A
203L,0586 302L,24A,0.000432444,0.000504459,0.000643713,0.00071712,0.000766517,0.00090921,0.000850294,0.000584783,0.00090921,BOT-RIGHT,203L_0586 302L_24A
